iter	Logloss
0	0.6785962003
1	0.6643460813
2	0.6504844983
3	0.6369477499
4	0.6238525949
5	0.6111010053
6	0.5994633624
7	0.5885950228
8	0.5770435418
9	0.5654813852
10	0.5541384227
11	0.5432409775
12	0.5325194538
13	0.5220116845
14	0.5118942351
15	0.5021638542
16	0.4924309349
17	0.4830723021
18	0.4739469338
19	0.4650103413
20	0.4566434045
21	0.4481259095
22	0.4398338247
23	0.4319505267
24	0.4241597941
25	0.4165558666
26	0.4091541539
27	0.4019047566
28	0.3949094852
29	0.3880855425
30	0.381987658
31	0.3757231011
32	0.3693487772
33	0.3632244552
