iter	Passed	Remaining
357	48379	1058666
358	48505	1058330
359	48638	1058158
360	48774	1058031
361	48912	1057969
362	49046	1057804
363	49182	1057701
364	49304	1057284
365	49428	1056914
366	49554	1056584
367	49679	1056236
368	49806	1055932
369	49938	1055728
370	50070	1055523
371	50195	1055192
372	50323	1054894
373	50449	1054576
374	50583	1054423
375	50707	1054073
376	50837	1053832
377	50964	1053543
378	51090	1053213
379	51217	1052931
380	51358	1052915
381	51484	1052595
382	51611	1052309
383	51742	1052088
384	51874	1051897
385	52003	1051646
386	52130	1051357
387	52255	1051030
388	52405	1051214
389	52534	1050966
390	52658	1050615
391	52781	1050245
392	52915	1050093
393	53046	1049896
394	53171	1049571
395	53300	1049326
396	53427	1049035
397	53565	1048961
398	53708	1048998
399	53846	1048930
400	53987	1048917
401	54119	1048729
402	54247	1048467
403	54370	1048119
404	54491	1047716
405	54634	1047749
406	54765	1047535
407	54893	1047283
408	55027	1047135
409	55162	1047004
410	55287	1046697
411	55409	1046318
412	55535	1046029
413	55659	1045702
414	55785	1045401
415	55921	1045299
416	56045	1044978
417	56171	1044681
418	56297	1044383
419	56421	1044073
420	56544	1043726
421	56671	1043461
422	56804	1043304
423	56927	1042960
424	57056	1042724
425	57186	1042517
426	57313	1042244
427	57444	1042051
428	57572	1041811
429	57695	1041468
430	57818	1041141
431	57951	1040980
432	58078	1040710
433	58201	1040391
434	58327	1040113
435	58450	1039767
436	58576	1039495
437	58707	1039306
438	58829	1038970
439	58985	1039219
440	59111	1038935
441	59236	1038645
442	59356	1038269
443	59478	1037926
444	59601	1037606
445	59724	1037276
446	59857	1037135
447	59980	1036813
448	60103	1036481
449	60233	1036278
450	60369	1036181
451	60494	1035895
452	60620	1035640
453	60754	1035499
454	60883	1035293
455	61015	1035114
456	61136	1034773
457	61263	1034526
458	61393	1034331
459	61523	1034124
460	61648	1033842
461	61778	1033658
462	61906	1033419
463	62031	1033140
464	62154	1032835
465	62281	1032584
466	62407	1032327
467	62550	1032344
468	62672	1032019
469	62793	1031687
470	62919	1031426
471	63046	1031189
472	63169	1030882
473	63292	1030569
474	63422	1030383
475	63551	1030178
476	63675	1029886
477	63804	1029674
478	63927	1029385
479	64061	1029253
480	64189	1029038
481	64319	1028850
482	64442	1028539
483	64571	1028337
484	64697	1028085
485	64825	1027863
486	64959	1027743
487	65085	1027493
488	65215	1027314
489	65344	1027115
490	65471	1026872
491	65603	1026728
492	65737	1026591
493	65868	1026431
494	65993	1026166
495	66121	1025942
496	66246	1025693
497	66371	1025431
498	66516	1025481
499	66640	1025204
500	66769	1024993
501	66894	1024737
502	67028	1024621
503	67149	1024303
504	67276	1024068
505	67401	1023804
506	67525	1023536
507	67655	1023355
508	67781	1023116
509	67918	1023045
510	68052	1022913
511	68181	1022725
512	68308	1022489
513	68446	1022431
514	68571	1022177
515	68693	1021886
516	68822	1021692
517	68949	1021461
518	69074	1021217
519	69200	1020979
520	69331	1020816
521	69458	1020583
522	69586	1020373
523	69713	1020163
524	69841	1019946
525	69964	1019679
526	70095	1019516
527	70218	1019230
528	70341	1018958
529	70473	1018805
530	70599	1018580
531	70730	1018412
532	70856	1018187
533	70986	1018004
534	71108	1017709
535	71244	1017627
536	71371	1017403
537	71492	1017106
538	71615	1016835
539	71739	1016581
540	71870	1016423
541	72003	1016283
542	72137	1016165
543	72266	1015980
544	72387	1015675
545	72521	1015572
546	72649	1015370
547	72784	1015263
548	72915	1015107
549	73038	1014833
550	73165	1014616
551	73295	1014450
552	73420	1014218
553	73546	1013990
554	73675	1013805
555	73806	1013643
556	73926	1013330
557	74047	1013042
558	74170	1012773
559	74298	1012580
560	74463	1012884
561	74585	1012610
562	74705	1012310
563	74828	1012048
564	74959	1011886
565	75085	1011666
566	75214	1011482
567	75340	1011261
568	75463	1010992
569	75594	1010843
570	75722	1010654
571	75845	1010392
572	75970	1010153
573	76106	1010071
574	76237	1009909
575	76362	1009680
576	76484	1009414
577	76608	1009163
578	76729	1008882
579	76862	1008752
580	76986	1008505
581	77108	1008242
582	77233	1008009
583	77362	1007828
584	77495	1007709
585	77626	1007560
586	77755	1007377
587	77884	1007201
588	78010	1006983
589	78141	1006830
590	78264	1006582
591	78387	1006328
592	78517	1006166
593	78640	1005903
594	78763	1005658
595	78896	1005529
596	79021	1005309
597	79150	1005136
598	79275	1004911
599	79406	1004758
600	79539	1004631
601	79665	1004415
602	79790	1004197
603	79921	1004053
604	80052	1003902
605	80178	1003689
606	80313	1003585
607	80442	1003415
608	80574	1003281
609	80706	1003146
610	80829	1002899
611	80955	1002688
612	81077	1002424
613	81216	1002380
614	81340	1002145
615	81471	1001997
616	81597	1001790
617	81724	1001589
618	81852	1001409
619	81982	1001249
620	82106	1001014
621	82246	1000972
622	82379	1000854
623	82513	1000742
624	82662	1000814
625	82802	1000770
626	82928	1000570
627	83054	1000354
628	83190	1000272
629	83313	1000020
630	83437	999800
631	83560	999550
632	83700	999516
633	83835	999414
634	83964	999249
635	84102	999176
636	84243	999155
637	84373	998991
638	84497	998763
639	84631	998647
640	84769	998589
641	84902	998463
642	85028	998253
643	85154	998057
644	85277	997812
645	85398	997551
646	85526	997368
647	85650	997137
648	85794	997151
649	85924	996992
650	86060	996904
651	86195	996803
652	86329	996687
653	86462	996569
654	86597	996469
655	86724	996270
656	86861	996199
657	87005	996198
658	87133	996017
659	87256	995783
660	87379	995549
661	87510	995393
662	87638	995223
663	87778	995175
664	87909	995029
665	88042	994903
666	88182	994865
667	88318	994769
668	88454	994681
669	88593	994626
670	88724	994484
671	88851	994293
672	88976	994072
673	89118	994053
674	89241	993820
675	89366	993605
676	89504	993535
677	89634	993379
678	89768	993270
679	89892	993044
680	90020	992874
681	90149	992699
682	90272	992471
683	90407	992368
684	90538	992218
685	90666	992043
686	90796	991889
687	90927	991747
688	91061	991635
689	91187	991435
690	91317	991272
691	91449	991140
692	91575	990944
693	91701	990742
694	91827	990544
695	91950	990316
696	92083	990190
697	92217	990079
698	92377	990249
699	92502	990041
700	92629	989858
701	92758	989685
702	92890	989551
703	93016	989357
704	93144	989186
705	93269	988978
706	93393	988751
707	93520	988573
708	93647	988386
709	93781	988268
710	93923	988243
711	94058	988147
712	94195	988060
713	94317	987827
714	94455	987756
715	94585	987600
716	94726	987556
717	94859	987437
718	94990	987296
719	95118	987123
720	95244	986918
721	95372	986745
722	95499	986563
723	95638	986503
724	95769	986356
725	95893	986145
726	96055	986317
727	96180	986115
728	96305	985914
729	96430	985700
730	96561	985558
731	96694	985434
732	96828	985328
733	96963	985219
734	97098	985118
735	97230	984983
736	97355	984784
737	97495	984726
738	97631	984641
739	97760	984479
740	97883	984252
741	98012	984086
742	98152	984032
743	98277	983834
744	98406	983671
745	98539	983546
746	98672	983419
747	98796	983213
748	98928	983074
749	99054	982887
750	99176	982653
751	99301	982453
752	99436	982351
753	99559	982129
754	99718	982265
755	99846	982086
756	99972	981891
757	100096	981688
758	100223	981504
759	100349	981317
760	100488	981252
761	100615	981063
762	100736	980824
763	100862	980638
764	100997	980535
765	101120	980311
766	101241	980079
767	101375	979967
768	101514	979897
769	101638	979686
770	101768	979540
771	101895	979362
772	102025	979209
773	102155	979060
774	102286	978911
775	102410	978709
776	102532	978479
777	102658	978292
778	102785	978107
779	102908	977894
780	103037	977737
781	103164	977560
782	103288	977345
783	103414	977161
784	103547	977039
785	103676	976879
786	103799	976662
787	103922	976447
788	104055	976324
789	104181	976144
790	104310	975981
791	104436	975797
792	104559	975580
793	104683	975373
794	104807	975174
795	104943	975077
796	105075	974943
797	105215	974889
798	105361	974886
799	105497	974797
800	105619	974570
801	105741	974351
802	105872	974211
803	105998	974024
804	106142	974002
805	106267	973814
806	106400	973691
807	106531	973550
808	106664	973428
809	106785	973194
810	106911	973009
811	107037	972826
812	107166	972673
813	107296	972520
814	107432	972432
815	107568	972334
816	107700	972203
817	107833	972082
818	107977	972057
819	108098	971835
820	108221	971624
821	108351	971468
822	108472	971244
823	108603	971103
824	108728	970908
825	108865	970824
826	108990	970635
827	109119	970476
828	109249	970334
829	109390	970278
830	109526	970188
